1x,,,,,,,
,Sn, Sp,Acc, MCC, Pre, Recall, F-score
p_EAAC(k=9),0.986875,0.958125,0.9725,0.945612188,0.986875,0.959689343,0.97298113
p_EAAC(k=10),0.99375,0.941875,0.9678125,0.937172282,0.99375,0.94534667,0.968795229
EGAAC(k=5),0.794375,0.9275,0.8609375,0.729954359,0.794375,0.917940527,0.850374122
GDPC,0.94125,0.985,0.963125,0.927639288,0.94125,0.984465819,0.962070639
GTPC,0.999375,0.996875,0.998125,0.99626548,0.999375,0.996902078,0.998130823
TPC,1,0.991875,0.9959375,0.991949646,1,0.992024308,0.995975202
GAAC,0.78875,0.830625,0.8096875,0.620331333,0.78875,0.823049532,0.805211646
9x,,,,,,,
,Sn, Sp,Acc, MCC, Pre, Recall, F-score
AAC,0.9955,0.984,0.98975,0.979622996,0.9955,0.984281782,0.98982981
CKSAAP(k=2),1,1,1,1,1,1,1
CKSAAP(k=3),1,0.999,0.9995,0.999002488,1,0.999004975,0.999501247
CKSAAP(k=4),1,0.999,0.9995,0.999002488,1,0.999004975,0.999501247
CKSAAP(k=5),1,0.9995,0.99975,0.999501244,1,0.999502488,0.999750623
CKSAAP(k=6),1,0.998,0.999,0.998004975,1,0.99800995,0.999002494
CTriad(k=0),0.996,0.9935,0.99475,0.98952825,0.996,0.993554141,0.994762999
CTriad(k=1),0.996,0.9935,0.99475,0.98952825,0.996,0.993554141,0.994762999
CTriad(k=2),0.996,0.9935,0.99475,0.98952825,0.996,0.993554141,0.994762999
CTriad(k=3),0.996,0.9935,0.99475,0.98952825,0.996,0.993554141,0.994762999
CTriad(k=4),0.996,0.9935,0.99475,0.98952825,0.996,0.993554141,0.994762999
CTriad(k=5),0.996,0.9935,0.99475,0.98952825,0.996,0.993554141,0.994762999
DDE,0.997,0.9955,0.99625,0.992516082,0.997,0.995529777,0.996256833
DPC,1,0.998,0.999,0.998004975,1,0.99800995,0.999002494
CTDC,0.9025,0.8835,0.893,0.787069,0.9025,0.88664712,0.894009228
CTDD,0.984,0.987,0.9855,0.971067302,0.984,0.987085047,0.985508074
